iter	Passed	Remaining
696	29604	12869
697	29650	12828
698	29698	12788
699	29745	12747
700	29800	12711
701	29852	12672
702	29897	12630
703	29939	12588
704	29986	12547
705	30041	12510
706	30092	12471
707	30141	12431
708	30203	12396
709	30254	12357
710	30299	12315
711	30344	12274
712	30391	12233
713	30436	12191
714	30480	12149
715	30528	12109
716	30575	12068
717	30621	12026
718	30670	11986
719	30718	11945
720	30772	11907
721	30823	11868
722	30865	11825
723	30911	11783
724	30958	11742
725	31006	11702
726	31060	11663
727	31118	11626
728	31183	11592
729	31242	11555
730	31288	11513
731	31334	11472
732	31426	11447
733	31471	11405
734	31521	11364
735	31576	11326
736	31619	11283
737	31668	11242
738	31736	11208
739	31796	11171
740	31852	11133
741	31899	11091
742	31945	11049
743	31987	11006
744	32035	10965
745	32086	10924
746	32128	10881
747	32168	10837
748	32219	10797
749	32263	10754
750	32306	10711
751	32357	10671
752	32400	10628
753	32451	10587
754	32491	10543
755	32532	10499
756	32582	10459
757	32630	10417
758	32688	10379
759	32746	10341
760	32800	10301
761	32840	10257
762	32879	10212
763	32924	10170
764	32993	10135
765	33058	10098
766	33105	10056
767	33152	10014
768	33193	9970
769	33240	9929
770	33293	9888
771	33352	9850
772	33408	9810
773	33458	9769
774	33506	9727
775	33551	9685
776	33603	9644
777	33644	9600
778	33686	9556
779	33739	9516
780	33785	9473
781	33841	9434
782	33897	9394
783	33940	9350
784	33985	9308
785	34023	9263
786	34070	9220
787	34114	9178
788	34165	9136
789	34213	9094
790	34268	9054
791	34346	9020
792	34391	8977
793	34433	8933
794	34478	8890
795	34518	8846
796	34557	8801
797	34608	8760
798	34658	8718
799	34714	8678
800	34769	8638
801	34821	8596
802	34863	8553
803	34906	8509
804	34944	8464
805	34994	8422
806	35036	8379
807	35089	8337
808	35143	8297
809	35196	8256
810	35240	8212
811	35283	8169
812	35327	8125
813	35374	8083
814	35416	8039
815	35460	7995
816	35500	7951
817	35547	7908
818	35684	7886
819	35752	7848
820	35804	7806
821	35857	7764
822	35914	7723
823	35973	7683
824	36029	7642
825	36074	7599
826	36137	7559
827	36205	7520
828	36243	7476
829	36303	7435
830	36373	7397
831	36443	7358
832	36506	7318
833	36557	7276
834	36612	7234
835	36665	7192
836	36708	7148
837	36751	7104
838	36796	7061
839	36850	7019
840	36900	6976
841	36951	6933
842	37006	6892
843	37054	6849
844	37094	6804
845	37145	6761
846	37204	6720
847	37252	6677
848	37294	6633
849	37341	6589
850	37382	6545
851	37428	6501
852	37469	6457
853	37517	6414
854	37558	6369
855	37601	6325
856	37640	6280
857	37687	6237
858	37736	6194
859	37783	6150
860	37825	6106
861	37874	6063
862	37932	6021
863	37989	5979
864	38038	5936
865	38079	5892
866	38122	5848
867	38163	5803
868	38201	5758
869	38238	5713
870	38277	5669
871	38314	5624
872	38351	5579
873	38391	5534
874	38435	5490
875	38482	5447
876	38529	5403
877	38574	5360
878	38622	5316
879	38675	5273
880	38719	5229
881	38762	5185
882	38810	5142
883	38875	5101
884	38917	5057
885	38962	5013
886	39021	4971
887	39064	4926
888	39114	4883
889	39160	4840
890	39211	4796
891	39267	4754
892	39314	4710
893	39362	4667
894	39413	4623
895	39458	4580
896	39496	4535
897	39536	4490
898	39580	4446
899	39621	4402
900	39664	4358
901	39706	4314
902	39749	4269
903	39796	4226
904	39839	4182
905	39881	4137
906	39929	4094
907	39977	4050
908	40023	4006
909	40066	3962
910	40115	3919
911	40158	3874
912	40200	3830
913	40247	3786
914	40307	3744
915	40372	3702
916	40438	3660
917	40494	3617
918	40549	3573
919	40610	3531
920	40650	3486
921	40692	3442
922	40740	3398
923	40789	3354
924	40829	3310
925	40882	3267
926	40940	3224
927	40983	3179
928	41049	3137
929	41129	3095
930	41183	3052
931	41224	3007
932	41267	2963
933	41312	2919
934	41365	2875
935	41440	2833
936	41493	2789
937	41543	2745
938	41594	2702
939	41640	2657
940	41686	2613
941	41726	2569
942	41861	2530
943	41900	2485
944	41940	2440
945	42002	2397
946	42070	2354
947	42138	2311
948	42201	2267
949	42258	2224
950	42309	2180
951	42351	2135
952	42390	2090
953	42430	2045
954	42466	2001
955	42504	1956
956	42540	1911
957	42578	1866
958	42616	1821
959	42653	1777
960	42689	1732
961	42728	1687
962	42768	1643
963	42828	1599
964	42873	1555
965	42932	1511
966	42984	1466
967	43030	1422
968	43079	1378
969	43131	1333
970	43178	1289
971	43216	1244
972	43254	1200
973	43293	1155
974	43336	1111
975	43399	1067
976	43443	1022
977	43493	978
978	43543	934
979	43601	889
980	43661	845
981	43722	801
982	43761	756
983	43807	712
984	43862	667
985	43901	623
986	43944	578
987	43993	534
988	44036	489
989	44081	445
990	44125	400
991	44179	356
992	44220	311
993	44261	267
994	44305	222
995	44345	178
996	44384	133
997	44428	89
998	44467	44
999	44505	0
